"Term","Getting.started","Types.and.functions","Defining.types..streamlining.functions","Functional.programming","Writing.a.library..working.with.JSON.data","Using.typeclasses","Input.and.output","Efficient.file.processing..regular.expressions..and.file.name.matching","I.O.case.study..a.library.for.searching.the.filesystem","Code.case.study..parsing.a.binary.data.format","Testing.and.quality.assurance","Barcode.recognition","Data.structures","Monads","Programming.with.monads","The.Parsec.parsing.library","The.foreign.function.interface","Monad.transformers","Error.handling","Systems.programming","Working.with.databases","Web.client.programming","GUI.programming","Basic.concurrent.and.parallel.programming","Profiling.and.tuning.for.performance","Advanced.library.design..building.a.Bloom.filter","Network.programming","Software.transactional.memory"
"image"," "," "," "," "," "," "," "," "," "," "," ","42"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"integer"," "," "," "," "," ","32"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"interface"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","11"," "," "," "," "," "
"I/O"," "," "," "," "," "," ","86"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"json"," "," "," "," ","31"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"loop"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","31"," "," "," "
"map"," "," "," "," "," "," "," "," "," "," "," ","58","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"match"," "," ","36"," "," "," "," ","52"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"monad"," "," "," "," "," "," "," "," "," "," "," "," "," ","182","111"," "," ","171","39"," "," "," "," "," "," "," "," ","16"
"monad transformer"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","63"," "," "," "," "," "," "," "," "," "," "
"monoid"," "," "," "," "," "," "," "," "," "," "," "," ","13"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"newtype"," "," "," "," "," ","23"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"operation"," "," "," "," "," "," "," "," "," "," "," "," ","14"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"operator","40"," "," "," "," "," "," "," "," "," "," "," ","19"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"output"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","20"," "," "," "," "," "," "," "," "
"package"," "," "," "," ","50"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","25"," "," "
"parse"," "," "," "," "," "," "," "," "," ","41"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"parsec"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","42"," "," "," "," "," "," "," "," "," "," "," "," "
"parser"," "," "," "," "," "," "," "," "," ","25"," "," "," "," "," ","68"," "," "," "," "," "," "," "," "," "," "," "," "
"parsing"," "," "," "," "," "," "," "," "," ","43"," "," "," "," "," ","34"," "," "," "," "," "," "," "," "," "," "," "," "
"pattern"," "," ","85","34"," "," "," ","42"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"performance"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","29"," "," "," "," "
"pointer"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","52"," "," "," "," "," "," "," "," "," "," "," "
"polymorphism"," ","22"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"precedence","16"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"predicate"," "," "," "," "," "," "," "," ","39"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"process"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","24"," "," "," "," "," "," "," "," "
"profiling"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","28"," "," "," "
"pure"," "," "," "," "," "," ","46"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"query"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","31"," "," "," "," "," "," "," "
"random"," "," "," "," "," "," "," "," "," "," "," "," "," ","27","25"," "," "," "," "," "," "," "," "," "," "," "," "," "
"reading"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","19"," "," "," "," "," "," "," "
"regular"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","42"," "," "," "," "," "," "," "," "," "," "," "
"regular expression"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","39"," "," "," "," "," "," "," "," "," "," "," "
"server"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","24"," "
"stack"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","37"," "," "," "," "," "," "," "," "," "," "
"statement"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","23"," "," "," "," "," "," "," "
"strict"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22"," "," "," "
"TCP"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","27"," "
"test"," "," "," "," "," "," "," "," "," "," ","47"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"testing"," "," "," "," "," "," "," "," "," "," ","26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"thread"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100"," "," "," ","24"
"transformer"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","80"," "," "," "," "," "," "," "," "," "," "
"traverse"," "," "," "," "," "," "," "," ","17"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"typeclass"," "," "," "," "," ","44"," "," "," "," "," "," "," "," ","31"," "," "," "," "," "," "," "," "," "," "," "," "," "
"type system"," ","29"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"UDP"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","23"," "
"window"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","27"," "," "," "," "," "
"xml"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","15","11"," "," "," "," "," "
