Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
abstract data type;abstract data type;abstract data type;0;0;0;0;0;0;0;0;0;0;0;1;1;4;62;2;2;0;3
fmap;fmap;fmap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
set;set;sets, set;5;3;5;3;3;0;0;3;0;0;3;9;0;0;107;4;5;4;10
unicode;unicode;unicode;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
expression type|see;expression type | see;expression type|see;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
map;map;map;1;0;0;0;1;0;1;0;25;45;9;5;5;0;2;6;3;1;5
foldr;foldr;foldr;0;0;0;0;0;0;0;0;24;6;0;12;0;0;2;0;0;0;16
program development;program development;program development;1;0;0;0;0;1;0;0;0;0;8;0;1;0;0;0;0;0;0
testing;testing;testing;0;2;25;3;1;1;1;14;0;0;0;0;1;1;1;2;0;2;0
recursive type;recursive type;recursive type;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;2;0;1;0
functor;functor;functor;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;0
operator;operator;operator;0;50;0;3;3;2;1;0;5;42;7;9;12;1;0;14;7;3;5
finiteness;finiteness;finiteness;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
web site;web site;web site;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
design;design;design;2;0;15;2;5;12;1;0;0;0;10;2;14;14;16;8;2;5;2
result;result;result;8;34;25;17;12;13;24;12;20;36;15;32;22;8;7;53;43;7;28
standard library;standard library;standard libraries, standard library;6;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADT;adt;ADT;0;0;0;2;0;0;0;0;0;0;0;1;1;0;27;2;1;0;0
symbolic evaluation;symbolic evaluation;symbolic evaluation;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
lazy evaluation;lazy evaluation;lazy evaluation;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;24;0;2;5
eq;eq;eq;0;0;0;0;0;0;0;0;0;1;0;37;1;0;3;1;0;0;0
eratosthene;eratosthene;eratosthenes, eratosthene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
programming paradigm;programming paradigm;programming paradigms, programming paradigm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function definition;function definition;function definition;0;7;9;1;2;4;0;4;1;5;4;6;0;1;0;0;0;0;0
downloading support material;downloading support material;downloading support materials, downloading support material;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
matrix;matrix;matrix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
Prelude.hs;Prelude.hs;Prelude.hs;4;1;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0
type-checking;type-checking;type-checking;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
pointer;pointer;pointer;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
specification;specification;specification;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
inmess;inmess;inmess;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;1;0;0;0
signature;signature;signature;0;0;0;0;1;0;0;0;0;0;0;17;0;0;63;0;1;1;0
GHCi;ghci;GHCi;78;9;2;4;6;0;3;1;0;1;1;9;1;1;0;1;3;1;0
state;state;state;0;1;0;0;1;0;0;8;1;5;0;2;3;3;5;6;44;4;0
above;above;above;2;3;4;4;14;1;1;4;1;2;7;5;7;6;4;10;4;3;6
actual parameter;actual parameter;actual parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
invariant;invariant;invariant;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
binary tree;binary tree;binary tree;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;1
product type;product type;product type;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
evaluation;evaluation;evaluation;5;3;2;5;0;0;0;11;0;0;0;2;0;0;1;51;1;2;8
quadratic equation;quadratic equation;quadratic equation;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
programming language;programming language;programming language;0;0;1;1;1;0;1;0;1;3;4;1;0;0;0;4;1;10;0
concatenate;concatenate;concatenate;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
floating point operator;floating point operator;floating point operators, floating point operator;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
join;join;join;0;0;0;2;8;2;0;2;1;0;2;0;3;0;8;0;3;1;1
enum;enum;enum;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0
horse;horse;horse;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0
supermarket billing;supermarket billing;supermarket billing;0;0;0;0;5;0;0;0;4;1;0;0;0;0;0;0;0;0;0
system message;system message;system messages, system message;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hamming number;hamming number;hamming numbers, hamming number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
