Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
literalness;literalness;literalness;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
application key;application key;application key;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
computational pattern;computational pattern;computational pattern;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
conditional statement;conditional statement;conditional statement;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denominator;denominator;denominator;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
frabjuou;frabjuou;frabjuous, frabjuou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python style;python style;python style;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
literal hyphen;literal hyphen;literal hyphen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arbitrary argument;arbitrary argument;arbitrary argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
regular;regular;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
long flag;long flag;long flags, long flag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
complete ordering;complete ordering;complete ordering;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class;class;classes, class;0;4;1;0;0;0;0;0;0;0;0;15;5;27;33;47;15;3;13;1;2;12
persistence layer;persistence layer;persistence layer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bug;bug;bug;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
dom;dom;dom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
url;url;url;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
doc;doc;docs, doc;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
request;request;requests, request;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list object;list object;list object;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pure function;pure function;pure functions, pure function;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
valid roman numeral;valid roman numeral;valid roman numeral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
script;script;script;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
embedded refernece;embedded refernece;embedded refernece;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
else clause;else clause;else clause;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
embedded reference;embedded reference;embedded reference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
section;section;section;0;1;1;1;2;4;0;3;2;2;0;2;2;6;2;0;1;3;0;2;9;1
argument list;argument list;argument list;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
area code;area code;area code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
second slouse;second slouse;second slice, second slouse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
randrange;randrange;randrange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
operator overloading format;operator overloading format;operator overloading format;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
text;text;text;2;0;0;0;0;1;0;0;0;1;19;0;0;0;0;0;0;0;0;0;1;0
random;random;random;0;0;0;0;0;0;0;0;22;0;0;0;0;0;8;2;0;0;0;0;1;0
string slouse;string slouse;string slice, string slouse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
base case;base case;base case;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;4;0
syntax;syntax;syntax;13;4;5;4;0;0;1;3;1;10;0;4;0;4;0;0;0;0;0;0;9;0
tab size;tab size;tab size;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
control flow;control flow;control flow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
case check;case check;case checks, case check;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oldmaidgame;oldmaidgame;oldmaidgame;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
xml;xml;xml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non-escaped backslash;non-escaped backslash;non-escaped backslash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
precedence;precedence;precedence;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
class attribute;class attribute;class attribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
grammar file;grammar file;grammar file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
expression syntax;expression syntax;expression syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
interactive mode;interactive mode;interactive mode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
testing code;testing code;testing code;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
global namespace;global namespace;global namespace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
case study;case study;case study;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
formal language;formal language;formal language;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dict;dict;dict;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
tuple assignment;tuple assignment;tuple assignment;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0
ambiguity;ambiguity;ambiguity;4;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;5;0;0;0;0;0
abstracting input;abstracting input;abstracting input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
override;override;override;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;0;0;0;1
test pass;test pas;test passes, test pass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
default argument;default argument;default arguments, default argument;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rectangle;rectangle;rectangle;0;0;0;0;0;0;0;0;0;0;0;23;0;2;0;0;0;0;0;0;0;0
using list comprehension;using list comprehension;using list comprehension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml element;xml element;xml elements, xml element;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
invoke;invoke;invoke;0;0;0;0;0;0;0;0;0;1;2;0;0;6;1;0;8;0;1;0;2;1
temporary redirect;temporary redirect;temporary redirects, temporary redirect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
context manager;context manager;context manager;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
class method;class method;class methods, class method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
try statement;try statement;try statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shallow equality;shallow equality;shallow equality;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
date checking;date checking;date checking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
import;import;import;0;1;2;2;1;0;2;1;1;0;2;4;0;1;1;1;0;3;0;1;3;2
mental list;mental list;mental list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pseudorandom;pseudorandom;pseudorandom;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
formal parameter;formal parameter;formal parameters, formal parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compiler;compiler;compiler;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
command-line application;command-line application;command-line applications, command-line application;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
resource;resource;resources, resource;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
keyword;keyword;keyword;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
incremental program development;incremental program development;incremental program development;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
instantiate;instantiate;instantiate;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0
command-line processing;command-line processing;command-line processing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http layer;http layer;http layer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
summary;summary;summary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
remembered group;remembered group;remembered group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
search result;search result;search results, search result;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dead code;dead code;dead code;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
empty tree node;empty tree node;empty tree node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deep copy;deep copy;deep copy;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
abstract data type;abstract data type;abstract data type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
traverse;traverse;traverse;0;0;0;0;0;0;3;1;2;0;0;0;0;0;1;3;1;2;2;8;0;0
set;set;sets, set;1;3;1;1;0;1;5;4;0;1;0;0;2;1;5;1;1;12;5;1;1;2
reference;reference;reference;0;0;0;0;1;0;2;5;1;0;1;9;2;0;0;0;19;0;1;6;0;0
redirect statu;redirect statu;redirect status, redirect statu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
element attribute;element attribute;element attributes, element attribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
frame;frame;frame;0;0;3;6;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
testing;testing;testing;1;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
module;module;modules, module;0;0;8;1;2;0;9;1;1;0;1;6;0;0;1;1;0;1;0;0;2;0
trick;trick;trick;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
url routing;url routing;url routing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
single quoted string;single quoted string;single quoted strings, single quoted string;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non- ascii;non- ascii;non- ascii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list equality;list equality;list equality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
euclid;euclid;euclid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
polymorphic;polymorphic;polymorphic;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
sameness;sameness;sameness;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
fundamental rule;fundamental rule;fundamental rules, fundamental rule;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
mutable list;mutable list;mutable list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alphabetic character;alphabetic character;alphabetic characters, alphabetic character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list operator;list operator;list operators, list operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
expression tree;expression tree;expression tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
pattern;pattern;pattern;0;0;0;0;1;0;3;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0
python web;python web;python web;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
getattr;getattr;getattr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
error checking;error checking;error checking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
call graph;call graph;call graph;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
file-like object;file-like object;file-like objects, file-like object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
call;call;calls, call;0;0;20;14;19;7;1;0;4;10;0;3;3;2;0;0;4;0;1;3;1;0
invariant;invariant;invariant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0
reading;reading;reading;2;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0
inorder;inorder;inorder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
email;email;email;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
template file;template file;template files, template file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
source code;source code;source code;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
comparable;comparable;comparable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
syndicated feed;syndicated feed;syndicated feed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
special class method;special class method;special class methods, special class method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linked queue;linked queue;linked queue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
list as parameter;list a parameter;list as parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
abecedarian;abecedarian;abecedarian;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
file type;file type;file type;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
comparable fraction;comparable fraction;comparable fraction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
key;key;key;0;0;0;1;1;0;0;0;1;30;3;0;0;1;0;0;0;0;0;0;1;0
interface;interface;interface;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0
raise exception;raise exception;raise exception;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python standard;python standard;python standard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
configuration;configuration;configuration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
encapsulate;encapsulate;encapsulate;0;0;0;0;0;3;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0
indexerror;indexerror;indexerror;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0
attributeerror;attributeerror;attributeerror;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
installation;installation;installation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object invariant;object invariant;object invariant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
license;license;licenses, license;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
handle exception;handle exception;handle exception;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compound statement body;compound statement body;compound statement body;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
command list;command list;command lists, command list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
line of code;line of code;lines of code, line of code;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
roman;roman;roman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http web service;http web service;http web services, http web service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
non-numeric character;non-numeric character;non-numeric characters, non-numeric character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
binary operator;binary operator;binary operator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
html processing;html processing;html processing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
expression;expression;expressions, expression;2;32;14;17;7;2;8;7;3;2;11;5;2;3;6;4;2;15;2;32;11;2
helper method;helper method;helper method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
generic;generic;generic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
python class;python class;python classes, python class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soap web service;soap web service;soap web services, soap web service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
simple;simple;simple;3;2;2;1;0;1;0;1;0;0;1;2;1;0;0;0;0;3;1;2;2;1
pop;pop;pop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;13;0;0;0;0
index specify;index specify;index specifies, index specify;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
log file;log file;log file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basic fact;basic fact;basic facts, basic fact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ascii character;ascii character;ascii characters, ascii character;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fraction comparison;fraction comparison;fraction comparison;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linux;linux;linux;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
table;table;table;0;0;1;0;0;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
url library;url library;url library;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml datum;xml datum;xml data, xml datum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
single xml;single xml;single xml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
linkedlist;linkedlist;linkedlist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;0;0
arithmetic sequence;arithmetic sequence;arithmetic sequence;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python knowledge base;python knowledge base;python knowledge base;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
function call;function call;function calls, function call;0;0;10;1;5;2;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0
url opener;url opener;url opener;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
source;source;source;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
last character;last character;last character;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list element;list element;list elements, list element;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
python object;python object;python objects, python object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
json;json;json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
printing list;printing list;printing list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
math function;math function;math function;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
background process;background process;background processes, background process;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
string comparison;string comparison;string comparison;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
numpy;numpy;numpy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xml schema;xml schema;xml schema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
veneer;veneer;veneer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0
incremental development;incremental development;incremental development;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
open source;open source;open source;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
normal method;normal method;normal methods, normal method;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
verbose regular expression;verbose regular expression;verbose regular expression;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
single statement;single statement;single statement;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tuple as return value;tuple a return value;tuple as return value;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
partial pathname;partial pathname;partial pathname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list traversal;list traversal;list traversal;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
overloading;overloading;overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
supports python;support python;supports python;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list operation;list operation;list operation;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0
python programming module;python programming module;python programming modules, python programming module;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
encapsulation;encapsulation;encapsulation;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
operator overloading;operator overloading;operator overloading;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
case;case;cases, case;2;6;2;6;7;3;2;4;2;4;3;3;10;4;0;2;7;2;3;2;8;2
floating-point;floating-point;floating-point;0;5;6;0;2;1;0;0;2;0;3;3;0;1;0;0;0;0;0;0;0;0
exception;exception;exceptions, exception;2;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;1;2;2;0
handling;handling;handling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
external;external;external;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
current directory;current directory;current directory;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
built-in file;built-in file;built-in file;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
program development;program development;program development;1;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
nested loop;nested loop;nested loop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
cursor;cursor;cursor;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
accumulator;accumulator;accumulator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
pass statement;pas statement;pass statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
formatting;formatting;formatting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
capture group;capture group;capture groups, capture group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nested structure;nested structure;nested structure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
error;error;errors, error;40;5;8;9;8;6;7;5;6;6;14;3;5;4;2;3;4;3;2;6;40;2
string operation;string operation;string operation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guide;guide;guide;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recursive function;recursive function;recursive function;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
dot product;dot product;dot product;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
layer;layer;layer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
character classification;character classification;character classification;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
leaf node;leaf node;leaf node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
parse;parse;parse;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0
python programming database;python programming database;python programming databases, python programming database;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deep equality;deep equality;deep equality;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;1
prose;prose;prose;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
priority queueing;priority queueing;priority queueing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
node class;node class;node class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
finditer function;finditer function;finditer function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
same name;same name;same name;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
list deletion;list deletion;list deletion;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
right syntax;right syntax;right syntax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
long integer division;long integer division;long integer division;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recursion;recursion;recursion;0;0;0;14;4;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;11;0
poetry;poetry;poetry;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
input test;input test;input tests, input test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
