Term;Stemmed;Variations;Chapter 1: The way of the program;Chapter 2: Variables, expressions and statements;Chapter 3: Functions;Chapter 4: Conditionals and recursion;Chapter 5: Fruitful functions;Chapter 6: Iteration;Chapter 7: Strings;Chapter 8: Lists;Chapter 9: Tuples;Chapter 10: Dictionaries;Chapter 11: Files and exceptions;Chapter 12: Classes and objects;Chapter 13: Classes and functions;Chapter 14: Classes and methods;Chapter 15: Sets of objects;Chapter 16: Inheritance;Chapter 17: Linked lists;Chapter 18: Stacks;Chapter 19: Queues;Chapter 20: Trees;Appendix A: Debugging;Appendix B: Creating a new data type
list traverse recursively;list traverse recursively;list traverse recursively;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
access;access;access;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;3;0
straight flush;straight flush;straight flush;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
version;version;version;3;2;3;2;5;3;6;2;3;4;2;2;7;6;3;4;2;3;3;6;3;3
closure function;closure function;closure function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
template;template;template;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
permanent address;permanent address;permanent address;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
numeral;numeral;numerals, numeral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
binary tree;binary tree;binary tree;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
html tag;html tag;html tag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
method;method;methods, method;0;0;0;0;0;0;0;0;0;19;5;5;0;49;20;24;17;9;16;1;15;11
body;body;body;0;0;0;6;0;4;1;5;0;0;0;1;0;0;1;0;0;0;1;0;0;1
redirect;redirect;redirect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
actual search;actual search;actual search;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compile function;compile function;compile function;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scalar multiplication;scalar multiplication;scalar multiplication;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
guardian;guardian;guardian;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
list operand;list operand;list operand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
animal game;animal game;animal game;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
