"","Term","Chapters"
"346","liftm",8
"347","impure code",8
"348","loosely coupled",8
"349","zipper",8
"350","temporary",8
"351","assignment",8
"352","the reader monad",8
"353","sorting",8
"354","connecting",8
"355","random value",8
"356","splitat",8
"357","defining new",8
"358","iterate",8
"359","takewhile function",8
"360","isdigit",8
"361","arithmetic",8
"362","state monad",8
"363","main function",8
"364","zip function",8
"365","higher-order function",8
"366","foldr",8
"367","foldm",8
"368","prefix form",8
"369","binary tree",8
"370","foldl function",8
"371","hiding",8
"372","explicit type declaration",8
"373","as-pattern",8
"374","chunk",8
"375","snd",8
"376","matrix",8
"377","bytestring",8
"378","putstr",8
"379","tolower",8
"380","pure function",8
"381","monad type class",8
"382","local",8
"383","pitfall",8
"384","replicate function",8
"385","table",8
"386","prelude",8
"387","flex",8
"388","polymorphism",8
"389","boolean expression",8
"390","enum",8
"391","boolean algebra",8
"392","negate",8
"393","limit",8
"394","standard prelude",8
"395","int",8
"396","newtype keyword",8
"397","bool",8
"398","imperative programming",8
"399","iterator type",0
"400","impure function",0
"401","dynamic",0
"402","function for 2nd",0
"403","updatelookupwithkey type",0
"404","const",0
"405","polymorphic list type",0
"406","splitat function",0
"407","anchored regular expression",0
"408","decoding barcode",0
"409","blockbuffering mode (buffermode)",0
"410","prepare function",0
"411","product type",0
"412","ST (state thread) monad",0
"413","runparse function",0
"414","vs. space",0
"415","p5 (raw) netpbm image format",0
"416","Data.Dynamic module",0
"417","tan function",0
"418","overlappinginstances 2nd",0
"419","monad transformer",0
"420","specification",0
"421","binding function [see (>>=) operator]",0
"422","byetstring module",0
"423","enumeration notation",0
"424","supermarket billing",0
"425","putstrln function 2nd 3rd",0
"426","regexcontex typeclass",0
"427","unlifted function",0
"428","local functions/global variable",0
"429","System.Directory library",0
"430","polymorphic testing",0
"431","python 2nd 3rd",0
"432","getdirectorycontents function",0
"433","numeric types 2nd",0
"434","alternatives (value constructors)",0
"435","reserved word",0
"436","foreignfunctioninterface",0
"437","pretty printer",0
"438","raw (p5) netpbm format",0
"439","nomonomorphismrestriction language extension",0
"440","SQL (Structured Query Language)",0
"441","queries (database)",0
"442","do expression",0
"443","immutable array",0
"444","structures 2nd 3rd [see also data structures]",0
"445","hfilesize function",0
"446","id function",0
"447","open world assumption",0
"448","square brackets ([ ])",0
"449","defining and using new",0
"450","jenkins hash function",0
"451","splitting line",0
"452","PGM file",0
"453","abstraction",0
"454","lambda calculu",0
"455","foldr function",0
"456","complexity",0
"457","autocommit mode (databases)",0
"458","feedback",0
"459","setfiletimes function",0
"460","parse type 2nd",0
"461","runtime option",0
"462","regexp [see regular expressions]",0
"463","type-based testing",0
"464","throw function",0
"465","type checking",0
"466","programming with",0
"467","IO type",0
"468","memory location",0
"469","tointeger function",0
"470","maybe monad",0
"471","hanging lambda",0
"472","derivedatatypeable",0
"473","symbolic evaluation",0
"474","lazy evaluation",0
"475","realtofrac function",0
"476","multiline literal",0
"477","frominteger function",0
"478","quickcheck function",0
"479","Data.Map module 2nd",0
"480","parallel programs 2nd",0
"481","shared pattern",0
"482","multiline string literal",0
"483","shiftr function",0
"484","Coding.hs",0
"485","hugs interpreter",0
"486",">>",0
"487","coding",0
"488","idempotency",0
"489","IConnection typeclass",0
"490","prefix notation",0
"491","value comparison",0
"492",">>= (bind) function",0
"493","any newtype constructor",0
"494","word type",0
"495","string type",0
"496","atomically block",0
"497","signum",0
"498","x:xs pattern",0
"499","regular expression",0
"500","expr",0
"501","representing datum",0
"502","property-based testing",0
"503","pi value",0
"504","fractional division (/) option",0
"505","question mark (?)",0
"506","parsebyte function",0
"507","commutativity",0
"508","memoization",0
"509","latency",0
"510","seq function",0
"511","test datum",0
"512","prompt directive (ghci)",0
"513","ternary type",0
"514","threeequal",0
"515","return keyword",0
"516","synonyms (types)",0
"517","recursive type",0
"518","try keyword",0
"519","downloading support material",0
"520","HPC (Haskell Program Coverage)",0
"521","UPC-A barcodes",0
"522","layout",0
"523","ix type",0
"524","Control.Monad.Trans module",0
"525","case study",0
"526","pcre.h header file",0
"527","directories and file",0
"528","hseek function",0
"529","logbase function",0
"530","closing file handle",0
"531","overloaded literal",0
"532","implication",0
"533","lifted function",0
"534","program termination",0
"535","Control.Exception module 2nd 3rd",0
"536","LINE pragma",0
"537","Haskell Foreign Function Interface (FFI)",0
"538","eratosthene",0
"539","types and purity",0
"540","identity parser",0
"541","text I/O",0
"542","sort function",0
"543","Product id of barcodes",0
